images,name,price,stock
https://cloud.ryanscomputers.com/cdn/products/small/peladn-geforce-gtx-1660-ti-dual-fans-6g-gaming-11692534772.webp,PELADN GTX 1660 Ti 6GB GDDR6 Gaming Graphics Card,19500,In stock
https://cloud.ryanscomputers.com/cdn/products/small/peladn-geforce-gtx-1660-super-dual-fans-6g-gaming-11692535740.webp,PELADN GTX 1660 Super 6G GDDR6 192Bit Gaming Graphics Card,21499,In stock
https://cloud.ryanscomputers.com/cdn/products/small/zotac-gaming-geforce-rtx-4060-solo-8gb-gddr6-11690372373.webp,ZOTAC Gaming GeForce RTX 4060 8GB SOLO GDDR6 Graphics Card,39500,In stock
https://cloud.ryanscomputers.com/cdn/products/small/colorful-geforce-rtx-3060-ti-nb-duo-v2-lhr-v-8gb-11689581490.webp,COLORFUL RTX 3060TI NB DUO V2 LHR-V 8GB GDDR6 GRAPHICS CARD,42999,In stock
https://cloud.ryanscomputers.com/cdn/products/small/gigabyte-geforce-rtx-4080-aero-oc-16gb-gddr6x-11668344801.webp,Gigabyte GeForce RTX 4080 AERO OC 16GB GDDR6X Graphics Card,180000,In stock
https://cloud.ryanscomputers.com/cdn/products/small/zotac-gaming-geforce-rtx-4090-amp-extreme-airo-11665643428.webp,ZOTAC GAMING GEFORCE RTX 4090 TRINITY 24GB GRAPHICS CARD,214900,Out of stock
https://cloud.ryanscomputers.com/cdn/products/small/zotac-gaming-geforce-rtx-2060-amp-6gb-gddr6-21553148196.webp,ZOTAC GAMING GeForce RTX 2060 6GB GDDR6 Twin Fan Graphics Card (WITH FULL PC),32000,Out of stock
