images,name,price,stock
https://cloud.ryanscomputers.com/cdn/products/small/corsair-vengeance-lpx-8gb-ddr4-3200mhz-black-11572682684.webp,Corsair Vengeance RGB Pro 16GB DDR4 3200MHz Ram,7500,In stock
https://cloud.ryanscomputers.com/cdn/products/small/corsair-dominator-platinum-rgb-8gb-ddr4-3600mhz-31598528113.webp,Corsair Dominator Platinum RGB 8GB 3600MHz DDR4 RAM,7600,In stock
https://cloud.ryanscomputers.com/cdn/products/small/corsair-vengeance-16gb-ddr5-5600mhz-desktop-ram-11646800230.webp,Corsair VENGEANCE 16GB DDR5 5200MHz C40 RAM,7800,In stock
https://cloud.ryanscomputers.com/cdn/products/small/gskill-ripjaws-s5-16gb-ddr5-5600mhz-black-gaming-11653371385.webp,G Skill Trident 16GB 5600MHZ DDR5 Z5 Neo RGB RAM CL30-36-36-89,7400,In stock
https://cloud.ryanscomputers.com/cdn/products/small/gskill-trident-z-royal-elite-rgb-8gb-ddr4-11671270599.webp,G.Skill Trident Z Royal Elite RGB 8GB DDR4 3600MHz Desktop RAM,7900,In stock
